accountant :	muhasebeci
afraid :	korkmuş
age :	yaş, çağ
alone:	yalnız
airplane:	uçak
angry:	kızgın
animal:	hayvan
answer:	cevap
architect:	mimar
arrive:	varmak
aunt:	teyze, hala
bag:	çanta
ball:	top
bath:	banyo
beautiful:	güzel
bill:	fatura
body:	vücut
boil:	kaynatmak, haşlamak
bookstore:	kitapçı
boring:	sıkıcı
borrow:	ödünç almak
boss:	patron
bottle:	şişe
box:	kutu
brave:	cesur
bread:	ekmek, pane etmek
break:	kırmak
bridge	:köprü
brush:	fırça, fırçalamak
build:	inşa etmek
butter:	tereyağı
calculator:	hesap makinesi
calendar:	takvim
call:	arama
capital:	sermaye, başkent
carpenter:	marangoz
carpet:	halı
carry	:taşımak
cheap:	ucuz
cheese:	peynir
cherry	:kiraz
chicken:	tavuk
church:	kilise
clean	:temizlemek, temiz
clear	:açık, net
clever:	zeki
clock	:saat
cloud	:bulut
coat	:ceket
cold	:soğuk
company:	şirket
continue:	devam etmek
correct:	doğru, düzeltmek
country	:ülke
cow:	inek
cry:	ağlamak
daily:	günlük
dark:	karanlık
dentist	:dişçi
difficult:	zor
dirty:	kirli
divorced:	boşanmış
draw	:çizmek
early	:erken
earn	:kazanmak
elephant:	fil
emergency	:acil durum
empty	:boş
engaged:	nişanlı
engineer:	mühendis
enough	:yeterli
eraser:	silgi
error:	hata
fall:	düşmek
far:	uzak
farm:	çiftlik
fat:	şişman
finger:	parmak
fire:	ateş
flight:	uçuş
floor:	zemin
fork:	çatal
friendly:	samimi
fruit	:meyve
funny:	komik
garden:	bahçe
glass	:bardak
grape:	üzüm
gun:	tabanca
habit:	alışkanlık
half:	yarım
hand:	el
handsome:	yakışıklı
hate:	nefret
health	:sağlık
hear	:duymak
heart:	kalp
heavy:	ağır
high	:yüksek
history:	tarih
horror:	korku
hungry	:aç
ill:	hasta
interested:	ilgili
job	:meslek
journalist	:gazeteci
kill:	öldürmek
large	:büyük
laugh	:gülmek
lawyer:	avukat
leave	:ayrılmak
left	:sol
lend	:ödünç vermek
letter:	mektup
library	:kütüphane
lunch:	öğle yemeği
manager	:müdür
main:	ana
